Date,Open,High,Low,Close,Adj Close,Volume
2012-10-25,70.550003,70.650002,69.790001,70.139999,65.544655,324300
2012-10-26,70.089996,70.449997,69.650002,70.180000,65.582047,397200
2012-10-31,70.459999,70.480003,69.870003,70.129997,65.535316,786900
2012-11-01,70.330002,71.150002,70.269997,71.019997,66.367012,798700
2012-11-02,71.519997,71.519997,70.309998,70.349998,65.740906,573000
2012-11-05,70.260002,70.769997,70.180000,70.629997,66.002571,634800
2012-11-06,70.860001,71.370003,70.750000,71.099998,66.441757,546900
2012-11-07,70.500000,70.500000,69.360001,69.739998,65.170876,1182100
2012-11-08,69.720001,69.980003,68.720001,68.720001,64.217705,688300
2012-11-09,68.580002,69.489998,68.559998,68.910004,64.395256,939500
2012-11-12,69.190002,69.279999,68.790001,68.989998,64.470024,635100
2012-11-13,68.660004,69.470001,68.540001,68.849998,64.339203,833100
2012-11-14,69.059998,69.120003,67.760002,67.930000,63.479458,1352100
2012-11-15,67.910004,68.150002,67.459999,67.790001,63.348640,1135100
2012-11-16,67.870003,68.330002,67.370003,68.169998,63.703712,726900
2012-11-19,68.980003,69.730003,68.930000,69.730003,65.161537,640600
2012-11-20,69.709999,69.910004,69.250000,69.849998,65.273666,815700
2012-11-21,69.870003,70.050003,69.730003,69.970001,65.385826,523900
2012-11-23,70.320000,70.940002,70.260002,70.910004,66.264221,355500
2012-11-26,70.660004,70.889999,70.370003,70.889999,66.245544,930200
2012-11-27,70.830002,71.019997,70.540001,70.589996,65.965187,944000
2012-11-28,70.339996,71.169998,69.919998,71.150002,66.488495,833900
2012-11-29,71.470001,71.730003,71.190002,71.589996,66.899673,839000
2012-11-30,71.550003,71.720001,71.309998,71.550003,66.862289,686000
2012-12-03,71.879997,71.970001,71.190002,71.239998,66.572609,804300
2012-12-04,71.230003,71.339996,70.879997,71.059998,66.404388,814600
2012-12-05,71.099998,71.180000,70.320000,70.830002,66.189468,600400
2012-12-06,70.739998,71.199997,70.589996,71.099998,66.441757,612500
2012-12-07,71.389999,71.489998,70.889999,71.120003,66.460480,632100
2012-12-10,71.089996,71.430000,71.040001,71.209999,66.544563,436600
2012-12-11,71.540001,72.070000,71.480003,71.680000,66.983765,666700
2012-12-12,71.919998,72.059998,71.480003,71.570000,66.880989,582400
2012-12-13,71.519997,71.830002,71.000000,71.199997,66.535217,491000
2012-12-14,70.959999,71.059998,70.660004,70.769997,66.133400,781900
2012-12-17,71.000000,71.620003,70.910004,71.620003,66.927719,610900
2012-12-18,71.709999,72.540001,71.650002,72.480003,67.731346,733900
2012-12-19,72.599998,72.629997,71.989998,71.989998,67.273445,708200
2012-12-20,72.019997,72.279999,71.769997,72.269997,67.535103,1178000
2012-12-21,71.330002,71.809998,71.250000,71.730003,67.030518,1002300
2012-12-24,71.180000,71.360001,71.050003,71.160004,66.891380,861800
2012-12-26,71.260002,71.260002,70.419998,70.599998,66.364960,1011600
2012-12-27,70.650002,70.790001,69.779999,70.599998,66.364960,834700
2012-12-28,70.099998,70.540001,69.849998,69.849998,65.659950,743300
2012-12-31,69.800003,71.250000,69.709999,71.180000,66.910202,1183900
2013-01-02,72.690002,73.040001,72.379997,73.040001,68.658600,1145600
