Date,Open,High,Low,Close,Adj Close,Volume
10/25/2012,14.97,14.97,14.95,14.96,12.582941,99300
10/26/2012,14.93,14.94,14.91,14.93,12.595595,156500
10/29/2012,14.92,14.96,14.92,14.95,12.612467,345700
10/30/2012,14.96,14.96,14.94,14.95,12.612467,115400
10/31/2012,14.96,14.96,14.95,14.96,12.620905,87700
11/1/2012,14.97,14.97,14.95,14.97,12.629344,7400
11/2/2012,14.98,14.98,14.95,14.97,12.629344,43600
11/5/2012,14.99,14.99,14.97,14.98,12.637777,93800
11/6/2012,14.97,14.98,14.96,14.96,12.620905,78500
11/7/2012,14.97,14.99,14.97,14.98,12.637777,29500
11/8/2012,14.99,14.99,14.98,14.99,12.646215,121400
11/9/2012,14.99,14.99,14.98,14.98,12.637777,84400
11/12/2012,15,15,14.99,15,12.654651,5900
11/13/2012,14.99,15,14.98,15,12.654651,38500
11/14/2012,14.98,14.99,14.97,14.99,12.646215,21100
11/15/2012,14.99,15,14.98,15,12.654651,107800
11/16/2012,14.99,15,14.97,14.99,12.646215,37600
11/19/2012,14.99,14.99,14.97,14.97,12.629344,13500
11/20/2012,14.98,14.99,14.97,14.99,12.646215,24700
11/21/2012,14.98,14.98,14.96,14.96,12.620905,10500
11/22/2012,14.97,14.99,14.97,14.99,12.646215,7100
11/23/2012,14.99,14.99,14.97,14.99,12.646215,94400
11/26/2012,14.99,15,14.97,14.99,12.646215,56700
11/27/2012,14.96,14.96,14.94,14.95,12.650445,114400
11/28/2012,14.96,14.96,14.95,14.96,12.658906,35700
11/29/2012,14.95,14.96,14.95,14.96,12.658906,121200
11/30/2012,14.96,14.97,14.96,14.97,12.667371,23500
12/3/2012,14.97,14.98,14.96,14.98,12.675827,10500
12/4/2012,14.97,14.99,14.97,14.99,12.684291,130300
12/5/2012,14.99,15,14.99,14.99,12.684291,182200
12/6/2012,15,15,14.99,15,12.692756,133400
12/7/2012,14.99,14.99,14.98,14.98,12.675827,9100
12/10/2012,14.98,14.99,14.98,14.99,12.684291,15600
12/11/2012,14.99,14.99,14.97,14.98,12.675827,76900
12/12/2012,14.98,14.99,14.97,14.97,12.667371,14400
12/13/2012,14.98,14.98,14.96,14.97,12.667371,18400
12/14/2012,14.96,14.97,14.95,14.96,12.658906,109500
12/17/2012,14.96,14.96,14.95,14.95,12.650445,24800
12/18/2012,14.95,14.96,14.95,14.95,12.650445,118100
12/19/2012,14.95,14.96,14.95,14.96,12.658906,44400
12/20/2012,14.96,14.97,14.96,14.97,12.667371,21500
12/21/2012,15,15,14.97,14.98,12.675827,124000
12/24/2012,14.94,14.94,14.93,14.94,12.680079,27400
12/27/2012,14.94,14.94,14.92,14.94,12.680079,31600
12/28/2012,14.94,14.95,14.94,14.95,12.688561,31700
12/31/2012,14.95,14.95,14.92,14.92,12.663099,19900
1/2/2013,14.93,14.93,14.9,14.9,12.646123,31800
1/3/2013,14.93,14.93,14.92,14.93,12.671586,52700
1/4/2013,14.92,14.92,14.9,14.92,12.663099,69800
1/7/2013,14.91,14.93,14.91,14.93,12.671586,49000
1/8/2013,14.93,14.93,14.92,14.93,12.671586,17700
1/9/2013,14.93,14.95,14.93,14.93,12.671586,63500
1/10/2013,14.91,14.93,14.91,14.93,12.671586,131100
