Date,Open,High,Low,Close,Adj Close,Volume
10/29/2012,15.78,15.9,15.76,15.79,11.47889,121600
10/30/2012,15.83,15.9,15.83,15.88,11.544319,59900
10/31/2012,15.84,15.84,15.8,15.82,11.500701,58600
11/1/2012,15.79,15.85,15.78,15.83,11.507967,45300
11/2/2012,15.85,15.85,15.76,15.78,11.471622,126300
11/5/2012,15.76,15.8,15.76,15.8,11.486161,145000
11/6/2012,15.82,15.85,15.81,15.83,11.507967,66700
11/7/2012,15.77,15.78,15.74,15.76,11.457083,71600
11/8/2012,15.8,15.83,15.61,15.67,11.391653,341100
11/9/2012,15.64,15.73,15.63,15.69,11.406193,50000
11/12/2012,15.72,15.72,15.69,15.71,11.420735,58500
11/13/2012,15.67,15.67,15.62,15.62,11.355304,26100
11/14/2012,15.69,15.69,15.59,15.59,11.333495,61800
11/15/2012,15.6,15.67,15.54,15.67,11.391653,49800
11/16/2012,15.63,15.63,15.58,15.63,11.362577,42700
11/19/2012,15.7,15.75,15.7,15.74,11.442542,58000
11/20/2012,15.75,15.75,15.7,15.73,11.435272,78200
11/21/2012,15.73,15.73,15.71,15.73,11.435272,91900
11/22/2012,15.76,15.82,15.76,15.82,11.500701,51800
11/23/2012,15.81,15.88,15.77,15.88,11.544319,39000
11/26/2012,15.79,15.8,15.74,15.8,11.486161,149900
11/27/2012,15.7,15.72,15.68,15.7,11.478848,60700
11/28/2012,15.74,15.76,15.7,15.75,11.515408,94700
11/29/2012,15.76,15.81,15.76,15.8,11.551966,22100
11/30/2012,15.79,15.84,15.79,15.84,11.581209,58600
12/3/2012,15.87,15.87,15.82,15.87,11.603144,77200
12/4/2012,15.89,15.9,15.88,15.9,11.625074,65800
12/5/2012,15.9,15.95,15.89,15.95,11.661632,70900
12/6/2012,15.94,15.99,15.94,15.99,11.690882,63700
12/7/2012,15.99,15.99,15.92,15.94,11.654322,88200
12/10/2012,15.92,15.99,15.91,15.99,11.690882,53600
12/11/2012,16,16.040001,15.99,16,11.698191,50400
12/12/2012,16.059999,16.059999,16.01,16.040001,11.727439,66000
12/13/2012,16.02,16.07,16.02,16.040001,11.727439,52000
12/14/2012,16.040001,16.049999,16,16.01,11.705504,102300
12/17/2012,16.030001,16.08,16.01,16.08,11.756682,90500
12/18/2012,16.1,16.110001,16.08,16.110001,11.778614,103900
12/19/2012,16.059999,16.08,16.040001,16.049999,11.734747,112200
12/20/2012,16.02,16.1,16.02,16.1,11.771305,102600
12/21/2012,16.07,16.07,16.030001,16.040001,11.727439,61900
12/24/2012,15.92,15.95,15.88,15.89,11.68332,181700
12/27/2012,15.99,15.99,15.91,15.97,11.742142,48300
12/28/2012,15.99,16.01,15.95,15.96,11.734788,87400
12/31/2012,15.97,16.01,15.95,16.01,11.771551,34400
1/2/2013,16.16,16.17,16.129999,16.129999,11.859781,54100
1/3/2013,16.09,16.1,16.059999,16.059999,11.808315,73100
1/4/2013,16.1,16.120001,16.059999,16.120001,11.852431,81500
1/7/2013,16.09,16.129999,16.040001,16.129999,11.859781,106200
1/8/2013,16.139999,16.139999,16.1,16.129999,11.859781,34300
1/9/2013,16.129999,16.16,16.120001,16.120001,11.852431,59500
1/10/2013,16.139999,16.17,16.129999,16.16,11.88184,43000
1/11/2013,16.139999,16.219999,16.139999,16.18,11.896548,55000
1/14/2013,16.190001,16.190001,16.139999,16.190001,11.903899,63800
1/15/2013,16.18,16.190001,16.15,16.190001,11.903899,156400
1/16/2013,16.190001,16.200001,16.15,16.190001,11.903899,104700
1/17/2013,16.18,16.23,16.17,16.23,11.933307,78000
1/18/2013,16.209999,16.280001,16.209999,16.280001,11.970074,69200
1/21/2013,16.24,16.360001,16.200001,16.360001,12.028896,88600
1/22/2013,16.280001,16.280001,16.25,16.27,11.962719,62500
1/23/2013,16.309999,16.309999,16.25,16.26,11.955366,95900
1/24/2013,16.280001,16.280001,16.219999,16.26,11.955366,68500
1/25/2013,16.290001,16.290001,16.25,16.26,11.955366,39500
1/28/2013,16.219999,16.219999,16.16,16.17,11.953152,103000
1/29/2013,16.200001,16.200001,16.15,16.190001,11.967935,123700
1/30/2013,16.16,16.16,16.01,16.049999,11.864442,79700
1/31/2013,16.059999,16.16,16.030001,16.139999,11.930972,87700
2/1/2013,16.110001,16.110001,16.049999,16.08,11.886618,57600
2/4/2013,16.040001,16.040001,15.98,16,11.827484,142700
2/5/2013,16.01,16.01,15.94,15.97,11.805306,106600
2/6/2013,15.95,16.02,15.95,15.99,11.820087,177000
2/7/2013,15.98,15.98,15.81,15.89,11.746169,254200
2/8/2013,15.9,15.96,15.9,15.95,11.790523,93300
2/11/2013,15.93,15.94,15.91,15.94,11.783129,86100
2/12/2013,15.94,16.09,15.92,16.040001,11.857053,69300
2/13/2013,15.96,16.030001,15.96,16.030001,11.849656,41400
2/14/2013,16.01,16.059999,15.97,16.049999,11.864442,91600
2/15/2013,16.02,16.049999,15.96,16.030001,11.849656,46200
2/19/2013,16.030001,16.059999,16,16.01,11.834874,186300
2/20/2013,16.049999,16.08,16.02,16.030001,11.849656,201300
2/21/2013,16.01,16.040001,16.01,16.040001,11.857053,161900
2/22/2013,16.07,16.07,16.030001,16.07,11.879225,79800
2/25/2013,16.030001,16.040001,15.95,15.95,11.854701,117300
2/26/2013,15.96,16.040001,15.96,16.030001,11.914163,37000
2/27/2013,16.040001,16.09,16.02,16.07,11.943889,65700
2/28/2013,16.049999,16.049999,15.99,15.99,11.884431,152800
3/1/2013,16.030001,16.1,16.030001,16.1,11.966187,38200
3/4/2013,16.08,16.08,16.040001,16.040001,11.921593,58900
3/5/2013,16.07,16.08,16.059999,16.07,11.943889,71300
3/6/2013,16.07,16.09,16.040001,16.049999,11.929026,36100
3/7/2013,16.09,16.1,16.08,16.1,11.966187,79700
3/8/2013,16.1,16.1,16.08,16.1,11.966187,41400
3/11/2013,16.08,16.1,16.08,16.1,11.966187,21400
3/12/2013,16.08,16.1,16.07,16.07,11.943889,124400
3/13/2013,16.1,16.209999,16.08,16.17,12.018213,613400
3/14/2013,16.18,16.18,16.129999,16.15,12.003347,57900
3/15/2013,16.17,16.17,16.139999,16.16,12.01078,26200
3/18/2013,16.110001,16.15,16.08,16.15,12.003347,49100
3/19/2013,16.15,16.17,16.120001,16.129999,11.988481,34300
3/20/2013,16.16,16.190001,16.129999,16.190001,12.033078,33900
3/21/2013,16.209999,16.209999,16.129999,16.15,12.003347,25200
3/22/2013,16.190001,16.190001,16.139999,16.17,12.018213,44100
3/25/2013,16.09,16.09,16.049999,16.049999,11.993554,62800
3/26/2013,16.08,16.08,16.040001,16.07,12.0085,43500
3/27/2013,16.049999,16.07,16.040001,16.059999,12.001025,34200
3/28/2013,16.09,16.1,16.059999,16.1,12.030916,45800
4/1/2013,16.120001,16.129999,16.1,16.129999,12.053337,33700
4/2/2013,16.17,16.17,16.09,16.110001,12.038393,79500
4/3/2013,16.120001,16.120001,16.1,16.1,12.030916,56200
4/4/2013,16.1,16.15,16.07,16.07,12.0085,42900
4/5/2013,16.059999,16.15,16.059999,16.110001,12.038393,98200
4/8/2013,16.120001,16.129999,16.09,16.120001,12.045861,40700
4/9/2013,16.120001,16.15,16.110001,16.139999,12.060807,91200
4/10/2013,16.110001,16.219999,16.110001,16.190001,12.09817,104300
4/11/2013,16.200001,16.209999,16.18,16.18,12.090699,118100
4/12/2013,16.190001,16.23,16.190001,16.219999,12.12059,31100
4/15/2013,16.200001,16.200001,16.139999,16.139999,12.060807,88300
4/16/2013,16.120001,16.23,16.120001,16.23,12.128059,60000
4/17/2013,16.209999,16.209999,16.16,16.200001,12.105642,82600
4/18/2013,16.200001,16.209999,16.15,16.17,12.083224,36800
4/19/2013,16.200001,16.209999,16.16,16.209999,12.113114,33600
4/22/2013,16.209999,16.25,16.18,16.24,12.135533,29500
4/23/2013,16.25,16.290001,16.23,16.280001,12.165423,84800
4/24/2013,16.26,16.299999,16.26,16.290001,12.172894,25500
4/25/2013,16.209999,16.25,16.209999,16.23,12.193181,117900
4/26/2013,16.24,16.24,16.219999,16.219999,12.185665,65400
4/29/2013,16.23,16.27,16.23,16.27,12.223234,81500
4/30/2013,16.26,16.32,16.26,16.309999,12.253284,64300
5/1/2013,16.32,16.33,16.280001,16.299999,12.24577,71500
5/2/2013,16.299999,16.379999,16.299999,16.379999,12.305868,77900
5/3/2013,16.4,16.42,16.370001,16.379999,12.305868,29900
5/6/2013,16.370001,16.4,16.370001,16.389999,12.31338,80600
5/7/2013,16.440001,16.440001,16.41,16.42,12.335921,92400
5/8/2013,16.42,16.469999,16.42,16.459999,12.365975,30500
5/9/2013,16.48,16.48,16.43,16.450001,12.358461,88500
5/10/2013,16.43,16.43,16.360001,16.379999,12.305868,67800
5/13/2013,16.370001,16.370001,16.309999,16.33,12.268311,50500
5/14/2013,16.32,16.35,16.01,16.26,12.215717,652600
5/15/2013,16.290001,16.33,16.280001,16.309999,12.253284,71800
5/16/2013,16.280001,16.299999,16.25,16.280001,12.230742,27800
5/17/2013,16.33,16.360001,16.309999,16.35,12.283336,86000
5/21/2013,16.389999,16.41,16.360001,16.4,12.320898,51900
5/22/2013,16.4,16.41,16.309999,16.32,12.260794,57700
5/23/2013,16.26,16.299999,16.23,16.299999,12.24577,348300
5/24/2013,16.200001,16.25,16.200001,16.25,12.208206,121900
5/27/2013,16.200001,16.23,16.18,16.18,12.155619,19700
5/28/2013,16.18,16.190001,16.07,16.09,12.153353,43500
5/29/2013,16.08,16.08,15.96,16.01,12.092921,70600
5/30/2013,16.02,16.129999,16.02,16.08,12.145797,134900
5/31/2013,16.08,16.08,15.84,15.84,11.964519,66100
6/3/2013,15.87,15.88,15.73,15.81,11.941858,151500
6/4/2013,15.77,15.97,15.77,15.85,11.972071,103900
6/5/2013,15.81,15.81,15.67,15.73,11.88143,85900
6/6/2013,15.71,15.88,15.7,15.88,11.994729,54000
6/7/2013,15.9,15.94,15.82,15.84,11.964519,51700
6/10/2013,15.84,15.86,15.75,15.76,11.90409,44800
6/11/2013,15.72,15.82,15.68,15.7,11.858767,37600
6/12/2013,15.8,15.84,15.72,15.75,11.896538,70500
6/13/2013,15.75,15.9,15.73,15.9,12.009835,92100
6/14/2013,15.88,15.9,15.82,15.84,11.964519,38900
6/17/2013,15.88,15.93,15.84,15.84,11.964519,33400
6/18/2013,15.86,15.9,15.86,15.87,11.987174,41500
6/19/2013,15.92,15.96,15.7,15.7,11.858767,78200
6/20/2013,15.62,15.62,15.46,15.55,11.745471,195900
6/21/2013,15.65,15.65,15.43,15.44,11.662384,111900
6/24/2013,15.26,15.4,15.1,15.22,11.496209,198000
6/25/2013,15.25,15.36,15.24,15.36,11.666342,68600
6/26/2013,15.42,15.46,15.4,15.45,11.734701,55600
6/27/2013,15.53,15.58,15.51,15.51,11.780275,55000
6/28/2013,15.5,15.5,15.42,15.48,11.757487,37000
7/2/2013,15.5,15.57,15.48,15.49,11.765082,39700
7/3/2013,15.46,15.56,15.46,15.55,11.810654,21900
7/4/2013,15.55,15.55,15.51,15.54,11.803061,35600
7/5/2013,15.4,15.4,15.26,15.26,11.590393,59400
7/8/2013,15.38,15.57,15.38,15.57,11.825847,42000
7/9/2013,15.6,15.6,15.5,15.53,11.795462,93700
7/10/2013,15.54,15.64,15.54,15.63,11.871415,52500
7/11/2013,15.75,15.8,15.74,15.8,12.000536,32500
7/12/2013,15.78,15.81,15.75,15.8,12.000536,30800
7/15/2013,15.81,15.88,15.78,15.88,12.0613,40400
7/16/2013,15.9,15.9,15.8,15.85,12.038511,21300
7/17/2013,15.9,15.94,15.85,15.93,12.099273,37000
7/18/2013,15.95,16.049999,15.93,16.049999,12.190418,44200
7/19/2013,15.99,16.030001,15.99,16.01,12.160038,26400
7/22/2013,16.08,16.08,16.030001,16.07,12.205611,16500
7/23/2013,16.08,16.08,16.01,16.01,12.160038,15200
7/24/2013,16,16,15.86,15.88,12.0613,22700
7/25/2013,15.87,15.91,15.85,15.9,12.076485,46300
7/26/2013,15.77,15.83,15.77,15.83,12.087179,16900
7/29/2013,15.81,15.82,15.74,15.76,12.033731,36400
7/30/2013,15.78,15.79,15.72,15.73,12.010821,19800
7/31/2013,15.7,15.77,15.69,15.77,12.041365,17700
8/1/2013,15.83,15.83,15.68,15.69,11.980281,20300
8/2/2013,15.75,15.8,15.71,15.77,12.041365,27500
8/6/2013,15.68,15.68,15.59,15.62,11.926827,41200
8/7/2013,15.65,15.7,15.65,15.66,11.957373,23300
8/8/2013,15.67,15.71,15.67,15.68,11.972643,18400
8/9/2013,15.64,15.71,15.64,15.68,11.972643,34400
8/12/2013,15.7,15.72,15.69,15.7,11.987911,20600
