,price
2004-01-02,35.88
2004-01-05,36.94
2004-01-06,37.29
2004-01-07,37.1
2004-01-08,37.02
2004-01-09,36.18
2004-01-12,36.07
2004-01-13,36.01
2004-01-14,36.84
2004-01-15,36.9
2004-01-16,36.97
2004-01-20,36.73
2004-01-21,36.69
2004-01-22,37.68
2004-01-23,37.93
2004-01-26,38.0
2004-01-27,37.88
2004-01-28,37.9
2004-01-29,38.7
2004-01-30,38.39
2004-02-02,38.97
2004-02-03,38.69
2004-02-04,38.33
2004-02-05,38.22
2004-02-06,38.73
2004-02-09,39.04
2004-02-10,39.44
2004-02-11,40.0
2004-02-12,39.97
2004-02-13,39.37
2004-02-17,39.96
2004-02-18,39.71
2004-02-19,38.84
2004-02-20,38.68
2004-02-23,38.16
2004-02-24,37.7
2004-02-25,37.8
2004-02-26,37.64
2004-02-27,38.12
2004-03-01,38.22
2004-03-02,38.74
2004-03-03,39.29
2004-03-04,39.95
2004-03-05,38.78
2004-03-08,38.44
2004-03-09,39.06
2004-03-10,38.71
2004-03-11,37.75
2004-03-12,37.78
2004-03-15,36.94
2004-03-16,37.28
2004-03-17,37.52
2004-03-18,37.39
2004-03-19,37.09
2004-03-22,36.53
2004-03-23,36.84
2004-03-24,36.81
2004-03-25,37.08
2004-03-26,36.98
2004-03-29,37.71
2004-03-30,37.72
2004-03-31,37.72
2004-04-01,37.84
2004-04-02,39.74
2004-04-05,40.47
2004-04-06,39.89
2004-04-07,39.43
2004-04-08,39.79
2004-04-12,39.96
2004-04-13,39.61
2004-04-14,39.83
2004-04-15,41.16
2004-04-16,40.97
2004-04-19,40.37
2004-04-20,40.05
2004-04-21,40.53
2004-04-22,40.5
2004-04-23,40.71
2004-04-26,40.0
2004-04-27,39.94
2004-04-28,39.51
2004-04-29,39.38
2004-04-30,39.34
2004-05-03,39.67
2004-05-04,40.09
2004-05-05,40.08
2004-05-06,40.63
2004-05-07,41.33
2004-05-10,42.06
2004-05-11,42.06
2004-05-12,41.55
2004-05-13,41.16
2004-05-14,40.84
2004-05-17,40.05
2004-05-18,40.02
2004-05-19,39.93
2004-05-20,39.75
2004-05-21,39.76
2004-05-24,39.75
2004-05-25,40.65
2004-05-26,40.27
2004-05-27,40.1
2004-05-28,39.9
2004-06-01,39.6
2004-06-02,39.51
2004-06-03,39.87
2004-06-04,39.89
2004-06-07,40.4
2004-06-08,40.28
2004-06-09,40.02
2004-06-10,40.12
2004-06-14,39.5
2004-06-15,39.76
2004-06-16,39.38
2004-06-17,39.13
2004-06-18,39.1
2004-06-21,38.72
2004-06-22,39.14
2004-06-23,39.61
2004-06-24,39.28
2004-06-25,38.11
2004-06-28,37.97
2004-06-29,37.89
2004-06-30,37.61
2004-07-01,37.27
2004-07-02,35.83
2004-07-06,36.61
2004-07-07,36.68
2004-07-08,36.32
2004-07-09,36.38
2004-07-12,36.36
2004-07-13,36.3
2004-07-14,35.23
2004-07-15,35.87
2004-07-16,35.93
2004-07-19,36.04
2004-07-20,36.09
2004-07-21,35.98
2004-07-22,35.83
2004-07-23,35.58
2004-07-26,35.47
2004-07-27,36.94
2004-07-28,36.9
2004-07-29,37.56
2004-07-30,37.7
2004-08-02,37.49
2004-08-03,37.19
2004-08-04,37.06
2004-08-05,36.51
2004-08-06,35.26
2004-08-09,34.91
2004-08-10,35.02
2004-08-11,35.25
2004-08-12,34.97
2004-08-13,35.2
2004-08-16,35.84
2004-08-17,35.87
2004-08-18,36.03
